Country Name,Course Lavel,University Name,Course,Ranking,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,Edith Cowan University,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,Curtin University - Faculty of ...,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,The University of Sydney,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,Curtin University,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,The Australian National University,#20 QS World University Rankings 2018,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,University of Wollongong,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
