College                         			 					,Rating               			,Location									,Affiliate 					,Average Fee 								,Exam Accepted								,Review									
"Anugrah Narayan Magadh Medical College and Hospital - [ANMMCH], Gaya","6.8/10","Gaya, Bihar","MCI","₹8.82 K / yr MBBS - avg fee",,""
"NIMS University, Jaipur","6.8/10","Jaipur, Rajasthan","PCI, BCI, UGC, AIU","₹54.4 K / yr Bachelor of Physio...",,"3.7 / 5 6 reviews"
"Patna Medical College - [PMC], Patna","6.8/10","Patna, Bihar","MCI","₹12.1 K / yr MBBS - avg fee",,"4.3 / 5 2 reviews"
"Guntur Medical College, Guntur","6.8/10","Guntur, Andhra Pradesh","MCI","₹16.9 K / yr B.Sc (Medicine) - ...",,""
"Vardhman Mahavir Medical College - [VMMC], New Delhi","6.8/10","New Delhi, Delhi NCR","MCI","₹30.5 K / yr MBBS - avg fee",,"4.4 / 5 3 reviews"
"Government Chengalpattu Medical College, Kanchipuram","6.8/10","Kanchipuram, Tamil Nadu","MCI","₹12.4 K / yr MBBS - avg fee",,""
"Alluri Sitharama Raju Academy of Medical Sciences - [ASRAM], Eluru","6.8/10","Eluru, Andhra Pradesh","MCI","₹5.5 L / yr MBBS - avg fee",,
"Kamineni Institute of Medical Sciences, Nalgonda","6.8/10","Nalgonda, Telangana","MCI, NAAC","₹9 L / yr MBBS - avg fee",,""
"Era's Lucknow Medical College and Hospital, Lucknow","6.8/10","Lucknow, Uttar Pradesh","MCI","₹16.8 L / yr MBBS - avg fee",,"3.5 / 5 4 reviews"
"Bankura Sammilani Medical College, Bankura","6.8/10","Bankura, West Bengal","MCI","₹8.18 K / yr MBBS - avg fee",,"3.7 / 5 4 reviews"
"Baba Raghav Das Medical College - [BRD], Gorakhpur","6.8/10","Gorakhpur, Uttar Pradesh","MCI","₹37.8 K / yr MBBS - avg fee",,""
"Nalanda Medical College, Patna","6.8/10","Patna, Bihar","MCI","₹11.8 K / yr MBBS - avg fee",,""
"SRM University Kattankulathur Campus - [SRM], Kanchipuram","6.7/10","Kanchipuram, Tamil Nadu","UGC, NAAC-A","₹51.7 K / yr B.Sc (Medicine) - ...",,"4 / 5 192 reviews"
"Terna Medical College, Navi Mumbai","6.7/10","Navi Mumbai, Maharashtra","MCI","₹4.64 L / yr MBBS - avg fee",,""
"Dayanand Medical College and Hospital - [DMCH], Ludhiana","6.7/10","Ludhiana, Punjab","MCI","₹2.2 L / yr MBBS - avg fee",,"4 / 5 3 reviews"
"Mediciti Institute of Medical Sciences - [MIMS], Ghanpur","6.7/10","Ghanpur, Telangana","MCI","-- MBBS",,"3.1 / 5 1 reviews"
"Great Eastern Medical School and Hospital, Srikakulam","6.7/10","Srikakulam, Andhra Pradesh","UGC","₹66.9 K / yr MBBS - avg fee",,
"Smt. BK Shah Medical Institute and Research Centre, Vadodara","6.7/10","Vadodara, Gujarat","MCI","₹9.5 L / yr MBBS - avg fee",,""
"Govt Mohan Kumaramangalam Medical College - [GMKMC], Salem","6.7/10","Salem, Tamil Nadu","MCI","₹12.4 K / yr MBBS - avg fee",,""
"MVJ Medical College and Research Hospital, Hoskote","6.7/10","Hoskote, Karnataka","MCI","₹3.57 L / yr MBBS - avg fee",,""
"Sree Balaji Medical College and Hospital - [SBMCH], Chennai","6.7/10","Chennai, Tamil Nadu","MCI, UGC, NAAC-A","₹66.7 K / yr MBBS - avg fee",,""
"IRT Perundurai Medical College - [IRTPMC], Erode","6.7/10","Erode, Tamil Nadu","MCI","₹2.8 L / yr MBBS - avg fee",,""
