"1210","Bachelor of Arts [BA] (English Literature)",""
"1210","Bachelor of Commerce [B.Com] (Computer Applications)",""
"1210","Master of Science [M.Sc]",""
"1210","Master of Arts [MA] (English Literature)",""
"1210","Master of Commerce [M.Com] (Computer Applications)",""
"1216","Bachelor of Arts [BA]",""
"1216","Bachelor of Education [B.Ed]",""
"1216","Bachelor of Commerce [B.Com]",""
"1216","Bachelor of Science [B.Sc]",""
"1216","Master of Science [M.Sc]",""
"1217","Bachelor of Science [B.Sc]",""
"1217","Bachelor of Arts [BA]",""
"1217","Bachelor of Commerce [B.Com]",""
"1217","Master of Science [M.Sc]",""
"1217","Master of Arts [M.A]",""
"1217","Master of Commerce [M.Com]",""
"1217","Post Graduate Diploma in Computer Applications [PGDCA]",""
"1217","Ph.D",""
"1217","M.Phil. (Commerce)",""
"1217","Diploma in Computer Accounting",""
"1217","Certificate in Accounting",""
"1219","Bachelor of Science [B.Sc] Get Detailed Fees","1,642"
"1219","Bachelor of Arts [BA] Get Detailed Fees","1,622"
"1219","Bachelor of Business Administration [BBA] (Finance) Get Detailed Fees","1,622"
"1219","Bachelor of Commerce [B.Com] Get Detailed Fees","1,622"
"1219","Master of Science [M.Sc] Get Detailed Fees","1,253"
"1219","Master of Arts [M.A] Get Detailed Fees","1,223"
"1219","Master of Social Work [MSW]",""
"1219","Master of Commerce [M.Com] Get Detailed Fees","1,223"
"1219","Ph.D",""
"1219","Master of Philosophy [M.Phil]",""
"1223","Bachelor of Arts [B.A] {Hons.}",""
"1223","Bachelor of Science [B.Sc]",""
"1223","Bachelor of Arts [BA]",""
"1223","Bachelor of Commerce [B.Com]",""
"1223","Bachelor of Commerce [B.Com] {Hons.}",""
"1223","Bachelor of Computer Application [BCA]",""
"1223","Master of Arts [M.A] Get Detailed Fees","1,770"
"1226","Bachelor of Arts [BA] Get Detailed Fees","4,049"
"1226","Bachelor of Education [B.Ed] Get Detailed Fees","51,250"
"1226","Bachelor of Commerce [B.Com] Get Detailed Fees","9,500"
"1226","Master of Arts [M.A] Get Detailed Fees","3,992"
"1229","Bachelor of Arts [BA] Get Detailed Fees","1,633"
"1229","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","2,333"
"1229","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","2,883"
"1229","Bachelor of Science [B.Sc] Get Detailed Fees","2,033"
"1229","Bachelor of Commerce [B.Com] Get Detailed Fees","1,833"
"1229","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","2,133"
"1231","Bachelor of Commerce [B.Com] Get Detailed Fees","17,040"
"1231","Bachelor of Arts [BA]",""
"1231","Bachelor of Education [B.Ed] Get Detailed Fees","50,000"
"1231","Bachelor of Computer Application [BCA] Get Detailed Fees","27,040"
"1231","Master of Arts [M.A]",""
"1231","Master of Commerce [M.Com]",""
"1231","Master of Philosophy [M.Phil]",""
"1231","Post Graduate Diploma in Computer Applications [PGDCA]",""
"1231","Diploma in Business Management and Accounts [DBMA]",""
"1232","Bachelor of Arts [BA]",""
"1232","Bachelor of Science [B.Sc]",""
"1232","Bachelor of Education [B.Ed]",""
"1232","Bachelor of Commerce [B.Com]",""
"1232","Bachelor of Computer Application [BCA]",""
"1232","Master of Arts [MA] (Sanskrit)",""
"1232","Master of Science [M.Sc] (Chemistry)",""
"1232","Ph.D",""
"1233","Bachelor of Arts [BA] Get Detailed Fees","3,700 *"
"1233","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","3,700 *"
"1233","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","3,290 *"
"1233","Bachelor of Science [B.Sc] Get Detailed Fees","3,290 *"
"1233","Bachelor of Commerce [B.Com] Get Detailed Fees","2,904 *"
"1233","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","2,904 *"
"1233","Master of Science [M.Sc] Get Detailed Fees","5,050 *"
"1239","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","13,005"
"1239","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","16,260"
"1239","Bachelor of Science [B.Sc] Get Detailed Fees","15,560"
"1239","Bachelor of Arts [BA] Get Detailed Fees","12,905"
"1239","Bachelor of Commerce [B.Com] Get Detailed Fees","13,505"
"1239","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","13,705"
"1240","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","5,900"
"1240","Bachelor of Arts [BA] Get Detailed Fees","5,900"
"1240","Bachelor of Commerce [B.Com] Get Detailed Fees","5,900"
"1240","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","6,400"
"1242","Bachelor of Arts [BA]",""
"1242","Bachelor of Commerce [B.Com]",""
"1242","Master of Arts [MA] (Applied Economics)",""
"1243","Bachelor of Science [B.Sc] Get Detailed Fees","24,000"
"1243","Bachelor of Arts [BA] Get Detailed Fees","2,275"
"1243","Bachelor of Business Administration [BBA] Get Detailed Fees","20,000"
"1243","Bachelor of Commerce [B.Com] (Computer Applications) Get Detailed Fees","2,275"
"1243","Master of Arts [M.A] Get Detailed Fees","20,000"
"1243","Master of Commerce [M.Com] (Finance) Get Detailed Fees","2,445"
"1243","Master of Science [M.Sc] (Microbiology) Get Detailed Fees","70,000"
"1243","Certification",""
"1244","Bachelor of Science [B.Sc] Get Detailed Fees","7,333"
"1244","Bachelor of Arts [BA] Get Detailed Fees","783"
"1244","Bachelor of Commerce [B.Com] Get Detailed Fees","6,833"
"1244","Bachelor of Computer Application [BCA] Get Detailed Fees","12,000"
"1244","Master of Science [M.Sc] Get Detailed Fees","10,000"
"1244","Master of Arts [MA] (English) Get Detailed Fees","4,500"
"1244","Master of Commerce [M.Com] (Computer Applications) Get Detailed Fees","6,500"
"1244","Master of Computer Applications [M.C.A] Get Detailed Fees","16,167"
"1244","Master of Computer Applications [M.C.A] {Lateral}",""
"1244","Certification",""
"1244","Certificate in Gandhian Philosophy",""
"1244","Diploma",""
"1244","Master of Philosophy [M.Phil]",""
"1245","Bachelor of Arts [BA] Get Detailed Fees","3,633"
"1245","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","3,620"
"1245","Bachelor of Science [B.Sc] Get Detailed Fees","5,353"
"1245","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","5,770"
"1245","Bachelor of Commerce [B.Com] Get Detailed Fees","4,000"
"1245","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","3,640"
"1248","Bachelor of Arts [BA] Get Detailed Fees","1,637"
"1248","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","1,917"
"1248","Bachelor of Science [B.Sc] Get Detailed Fees","3,567"
"1248","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","5,537"
"1248","Bachelor of Commerce [B.Com] Get Detailed Fees","1,787"
"1248","Bachelor of Commerce [B.Com] {Hons.} (Accountancy) Get Detailed Fees","1,957"
"1248","Master of Arts [MA] (Bengali) Get Detailed Fees","1,248"
"1249","Bachelor of Science [B.Sc] {Hons.}",""
"1249","Bachelor of Arts [BA]",""
"1249","Bachelor of Commerce [B.Com]",""
"1249","Bachelor of Commerce [B.Com] {Hons.}",""
"1249","Bachelor of Science [B.Sc]",""
"1261","Bachelor of Science [B.Sc] Get Detailed Fees","1,662"
"1261","Bachelor of Commerce [B.Com] Get Detailed Fees","1,482"
"1261","Bachelor of Arts [BA] Get Detailed Fees","1,482"
"1261","Bachelor of Business Administration [BBA] Get Detailed Fees","1,562"
"1261","Bachelor of Business Management [BBM]",""
"1261","Bachelor of Computer Application [BCA]",""
"1261","Master of Science [M.Sc] Get Detailed Fees","2,650"
"1261","Master of Commerce [M.Com] Get Detailed Fees","3,400"
"1261","Master of Computer Applications [M.C.A] Get Detailed Fees","3,312"
"1261","Ph.D",""
"1261","Ph.D",""
"1261","Master of Philosophy [M.Phil]",""
"1261","Master of Philosophy [M.Phil]",""
"1261","Master of Arts [M.A]",""
"1266","Bachelor of Arts [BA] Get Detailed Fees","18,000"
"1266","Bachelor of Commerce [B.Com] Get Detailed Fees","18,000"
"1266","Bachelor of Library and Information Science [B.Lib.I.Sc] Get Detailed Fees","18,000"
"1266","Bachelor of Business Administration [BBA] Get Detailed Fees","18,000"
"1266","Bachelor of Science [B.Sc] (Mathematics) Get Detailed Fees","22,500"
"1266","Bachelor of Computer Application [BCA] Get Detailed Fees","37,500"
"1266","Master of Arts [M.A] Get Detailed Fees","37,500"
"1266","Master of Science [M.Sc] Get Detailed Fees","37,500"
"1266","Master of Commerce [M.Com] Get Detailed Fees","37,500"
"1271","Bachelor of Science [B.Sc] Get Detailed Fees","1,819"
"1271","Bachelor of Arts [BA] Get Detailed Fees","1,711"
"1271","Bachelor of Arts [BA] {Hons.} (Geography) Get Detailed Fees","1,727"
"1271","Bachelor of Commerce [B.Com] Get Detailed Fees","1,503"
"1271","Master of Arts [MA] (Hindi) Get Detailed Fees","2,137"
"1271","Master of Science [M.Sc] (Geography) Get Detailed Fees","3,349"
"1276","Bachelor of Arts [BA] Get Detailed Fees","21,467"
"1276","Bachelor of Commerce [B.Com] Get Detailed Fees","21,467"
"1276","Bachelor of Science [B.Sc] Get Detailed Fees","25,967"
"1276","Bachelor of Business Administration [BBA] Get Detailed Fees","21,467"
"1276","Master of Commerce [M.Com] (Finance) Get Detailed Fees","43,700"
"1276","Master of Science [M.Sc] (Physics) Get Detailed Fees","51,700"
"1283","Bachelor of Science [B.Sc] Get Detailed Fees","1,790 *"
"1283","Bachelor of Arts [BA] Get Detailed Fees","1,790 *"
"1283","Bachelor of Commerce [B.Com] Get Detailed Fees","1,790 *"
"1283","Bachelor of Computer Application [BCA] Get Detailed Fees","1,790 *"
"1283","Master of Science [M.Sc] Get Detailed Fees","3,330 *"
"1283","Master of Arts [M.A] Get Detailed Fees","3,330 *"
"1283","Master of Commerce [M.Com] Get Detailed Fees","3,330 *"
"1287","Bachelor of Arts [BA] Get Detailed Fees","3,633"
"1287","Bachelor of Social Work [BSW] Get Detailed Fees","3,633"
"1287","Bachelor of Business Management [BBM] Get Detailed Fees","40,100"
"1287","Bachelor of Commerce [B.Com] Get Detailed Fees","3,567"
"1287","Bachelor of Science [B.Sc] Get Detailed Fees","4,000"
"1287","Bachelor of Computer Application [BCA] Get Detailed Fees","6,800"
"1287","Certification",""
"1288","Bachelor of Science [B.Sc]",""
"1288","Bachelor of Arts [BA]",""
"1288","Bachelor of Education [B.Ed] Get Detailed Fees","85,000"
"1288","Bachelor of Commerce [B.Com]",""
"1288","Bachelor of Computer Application [BCA]",""
"1288","Master of Arts [M.A]",""
"1288","Master of Commerce [M.Com]",""
"1288","Master of Science [M.Sc]",""
"1301","Bachelor of Science [B.Sc]",""
"1301","Bachelor of Arts [BA]",""
"1301","Bachelor of Commerce [B.Com]",""
"1301","Bachelor of Computer Application [BCA]",""
"1301","Master of Arts [M.A]",""
"1301","Master of Science [M.Sc]",""
