"89","Japan","Hirosaki University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/hirosaki-university_592560cf2aeae70239af5206_medium.jpg","null","null","/node/294893","","Public","Low","6,927","558","118","null",
"90","Japan","Waseda Business School","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/waseda-business-school-waseda-university_14596_medium_0.jpg","null","null","/node/374124","","null","null","null","null","null","null",
"91","Japan","Senshu University","null","","null","null","/node/296778","","Private","Low","19,225","813","262","null",
"92","Japan","Nagoya University of Commerce and Business Administration","null","","null","null","/node/294926","","Private","Low","3,039","80","45","null",
"93","Japan","Gakushuin University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/gakushuin-university_592560cf2aeae70239af5203_medium.jpg","null","null","/node/294891","","Private","Low","8,709","803","161","null",
"94","Japan","Josai International University","null","","null","null","/node/297057","","null","null","null","null","null","null",
"95","Japan","Toyota Technological Institute","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/toyota-technological-institute_592560cf2aeae70239af5237_medium.jpg","null","null","/node/294942","","Private","Low","485","34","9","null",
"96","Japan","Shibaura Institute of Technology","null","","null","null","/node/309732","","null","null","null","null","null","null",
"97","Japan","Fujita Health University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/fujita-health-university_592560e99988f300e23226c2_medium.jpg","null","null","/node/378500","","null","null","null","null","null","null",
"98","Japan","Yamagata University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/yamagata-university-_592560cf2aeae70239af4e96_medium.jpg","null","null","/node/296771","","Public","Low","8,863","616","119","null",
"99","Japan","Osaka Kyoiku University","null","","null","null","/node/294930","","Public","Low","4,624","189","72","null",
"100","Japan","International Christian University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/international-christian-university_592560cf2aeae70239af5207_medium.jpg","null","null","/node/294894","","Private","Low","2,762","342","230","null",
"101","Japan","Meiji University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/meiji-university_592560cf2aeae70239af5223_medium.jpg","null","null","/node/294921","","Private","High","33,003","1,700","1,195","null",
"102","Japan","Ehime University","null","","null","null","/node/295238","","null","null","null","null","null","null",
"103","Japan","Shizuoka University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/shizuoka-university-_592560cf2aeae70239af4e85_medium.jpg","null","null","/node/296776","","Public","Low","10,127","731","299","null",
"104","Japan","Akita University","null","","null","null","/node/295556","","Public","Low","5,098","426","null","null",
"105","Japan","Tokyo Kasei University","null","","null","null","/node/294939","","Private","Low","5,912","272","10","null",
"106","Japan","The University of Shimane","null","","null","null","/node/294937","","Public","Low","1,345","71","120","null",
"107","Japan","Kyoto Women's University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/kyoto-womens-university_592560cf2aeae70239af5221_medium.jpg","null","null","/node/294920","","Private","Low","6,312","321","3","null",
"108","Japan","Kogakuin University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/kogakuin-university_592560cf2aeae70239af521f_medium.jpg","null","null","/node/294917","","Private","Medium","6,508","381","58","null",
"109","Japan","Kindai University (Kinki University)","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/kindai-university-kinki-university_1015_medium.jpg","null","null","/node/297334","","Private","Medium","32,512","2,336","528","null",
"110","Japan","Iwate University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/iwate-university_592560cf2aeae70239af5209_medium.jpg","null","null","/node/294896","","Public","Low","5,680","286","163","null",
"111","Japan","United Nations University","null","","null","null","/node/295257","","null","null","null","null","null","null",
"112","Japan","Tokyo University of Pharmacy and Life Sciences","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/tokyo-university-of-pharmacy-and-life-sciences_1970_medium.jpg","null","null","/node/294940","","Private","Low","3,851","152","null","null",
"113","Japan","Nagoya Institute of Technology (NIT)","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/nagoya-institute-of-technology-nit_592560cf2aeae70239af4d85_medium_0.jpg","null","null","/node/297061","","Public","Very High","5,594","259","240","null",
"114","Japan","Fukui Prefectural University","null","","null","null","/node/297337","","null","null","null","null","null","null",
"115","Japan","Sojo University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/sojo-university_592560cf2aeae70239af5231_medium.jpg","null","null","/node/294936","","Private","Low","3,597","170","76","null",
"116","Japan","Mie University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/mie-university_592560cf2aeae70239af4c18_medium.jpg","null","null","/node/294855","","Public","Low","7,254","584","155","null",
"117","Japan","Tokyo Denki University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/tokyo-denki-university_592560cf2aeae70239af5234_medium.jpg","null","null","/node/294938","","Private","Low","10,012","572","151","null",
"118","Japan","Toyo University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/toyo-university-_592560cf2aeae70239af4e8b_medium.jpg","null","null","/node/296434","","null","Medium","27,797","1,058","489","null",
"119","Japan","Otaru University of Commerce","null","","null","null","/node/294931","","Public","Low","2,395","188","82","null",
"120","Japan","Future University Hakodate","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/future-university-hakodate_592560cf2aeae70239af5202_medium.jpg","null","null","/node/294890","","Public","Low","1,152","51","null","null",
"121","Japan","Kitasato University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/kitasato-university_592560cf2aeae70239af521b_medium.jpg","null","null","/node/294914","","Private","Low","8,511","871","10","null",
"122","Japan","Japan Advanced Institute of Science and Technology","null","","null","null","/node/297336","","null","null","null","null","null","null",
"123","Japan","Nakamura Gakuen University","null","","null","null","/node/294927","","Private","Low","2,966","98","35","null",
"124","Japan","Nihon University","null","","null","null","/node/297329","","Private","Low","69,828","4,584","1,146","null",
"125","Japan","Gunma Prefectural Women's University","null","","null","null","/node/294892","","Public","Low","1,016","144","1","null",
"126","Japan","Akita Prefectural University","null","","null","null","/node/294886","","Public","High","1,816","234","17","null",
"127","Japan","Tottori University","null","","null","null","/node/295486","","null","null","null","null","null","null",
"128","Japan","Graduate School of International Relations","null","","null","null","/node/296311","","null","null","null","null","null","null",
"129","Japan","University of Miyazaki","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/university-of-miyazaki_592560cf2aeae70239af5224_medium.jpg","null","null","/node/294922","","Public","Medium","5,475","745","122","null",
"130","Japan","Kobe College","null","","null","null","/node/294915","","Private","Low","2,623","63","null","null",
"131","Japan","Kanagawa Institute of Technology","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/kanagawa-institute-of-technology_592560cf2aeae70239af520d_medium.jpg","null","null","/node/294899","","Private","Low","5,202","168","48","null",
"132","Japan","Kochi University","null","","null","null","/node/294916","","Public","Low","5,532","493","110","null",
"133","Japan","Rikkyo University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/rikkyo-university_592560cf2aeae70239af5233_medium.jpg","null","null","/node/294932","","Private","Low","20,593","1,663","461","null",
